char,word,tier,rep,pg
bloom,Bloo,2,0,6
bloom,Bloo,2,0,394
bloom,Bloo,2,0,458
bloom,Bloo,2,0,880
bloom,Bloo,2,0,978
bloom,Bloo,2,0,1126
bloom,Bloo,2,1,6
bloom,Bloo,2,1,151
bloom,Bloo,2,2,230
bloom,Bloo,3,0,58
bloom,Bloo,3,0,1288
minlyd,hair,1,0,7
minlyd,hair,1,0,45
minlyd,hair,1,0,81
minlyd,hair,1,0,82
minlyd,hair,1,0,83
minlyd,hair,1,0,166
minlyd,hair,1,0,222
minlyd,hair,1,1,222
minlyd,hair,1,0,348
minlyd,hair,1,0,547
minlyd,hair,1,0,726
minlyd,hair,1,0,809
minlyd,hair,1,0,942
minlyd,hair,1,0,1108
minlyd,hair,1,0,1135
minlyd,hair,1,0,1239
minlyd,hair,1,0,301
minlyd,hair,1,0,941
lydia,rose,1,0,8
lydia,rose,1,1,8
lydia,rose,1,0,14
lydia,rose,1,0,54
lydia,rose,1,0,181
lydia,rose,1,0,329
lydia,rose,1,0,331
lydia,rose,1,1,331
lydia,rose,1,0,332
lydia,rose,1,0,348
lydia,rose,1,0,398
lydia,rose,1,1,398
lydia,rose,1,0,603
lydia,rose,1,0,660
lydia,rose,1,0,693
lydia,rose,1,0,907
lydia,rose,1,0,920
lydia,rose,1,0,1107
lydia,rose,1,1,1107
lydia,rose,1,2,1107
lydia,rose,1,0,1109
lydia,rose,1,0,1134
lydia,rose,1,0,1152
lydia,rose,1,0,1159
lydia,rose,1,0,1178
lydia,rose,1,0,1271
lydia,rose,1,1,1271
minlyd,satin,1,0,8
minlyd,satin,1,1,8
minlyd,satin,1,0,110
minlyd,satin,1,0,203
minlyd,satin,1,0,360
minlyd,satin,1,0,813
minlyd,satin,1,0,1039
minlyd,satin,1,0,1106
minlyd,satin,1,0,1134
lydia,Castile,1,0,8
lydia,Castile,1,0,14
lydia,Castile,1,0,54
lydia,Castile,1,0,329
lydia,Castile,1,0,331
lydia,Castile,1,0,1109
lydia,Castile,1,0,1271
ben,Castile,2,0,1153
lydia,dolor,1,0,9
lydia,dolor,1,0,379
lydia,dolor,1,0,518
lydia,dolor,1,1,518
lydia,dolor,1,0,734
lydia,dolor,1,1,734
lydia,dolor,1,0,1132
lydia,dolor,1,1,1132
lydia,dolor,1,0,1133
lydia,dolor,1,0,226
lenehan,peep,1,0,10
lenehan,peep,1,0,938
lenehan,peep,1,1,10
lenehan,peep,1,0,242
bloom,peep,2,0,32
bloom,peep,2,0,890
bloom,peep,2,0,894
bloom,peep,2,1,894
bloom,peep,2,0,898
bloom,peep,2,0,903
stripling,call,1,0,12
stripling,call,1,1,12
stripling,call,1,0,31
stripling,call,1,0,313
stripling,call,1,0,314
stripling,call,1,0,316
stripling,call,1,0,324
stripling,call,1,0,449
stripling,call,1,0,634
stripling,call,1,0,675
stripling,call,1,0,715
stripling,call,1,0,855
stripling,call,1,1,855
stripling,call,1,0,869
stripling,call,1,0,1008
stripling,call,1,0,1132
stripling,call,1,0,1233
stripling,call,1,0,1245
stripling,call,1,0,640
stripling,call,1,0,834
stripling,call,1,0,857
stripling,call,1,0,871
stripling,call,1,0,896
stripling,pure,1,0,12
stripling,pure,1,0,315
stripling,pure,1,1,315
stripling,pure,1,0,745
stripling,pure,1,0,903
stripling,pure,1,0,1103
stripling,long,1,0,12
stripling,long,1,0,105
stripling,long,1,0,220
stripling,long,1,0,313
stripling,long,1,0,438
stripling,long,1,0,575
stripling,long,1,0,588
stripling,long,1,0,623
stripling,long,1,0,640
stripling,long,1,0,663
stripling,long,1,0,746
stripling,long,1,1,746
stripling,long,1,0,747
stripling,long,1,0,779
stripling,long,1,0,868
stripling,long,1,0,1128
stripling,long,1,1,12
stripling,long,1,0,316
stripling,long,1,0,959
stripling,long,1,0,1243
stripling,throb,1,0,12
stripling,throb,1,0,25
stripling,throb,1,0,315
stripling,throb,1,1,315
stripling,throb,1,0,701
stripling,throb,1,0,702
stripling,throb,1,1,702
stripling,throb,1,0,709
stripling,dying,1,0,12
stripling,dying,1,0,313
stripling,dying,1,0,316
stripling,dying,1,0,1102
stripling,dying,1,1,1102
stripling,dying,1,0,162
stripling,dying,1,0,767
stripling,dying,1,0,1019
stripling,dying,1,1,1019
stripling,dying,1,2,1102
stripling,dying,1,0,1131
stripling,dying,1,0,1019
lenehan,soft,1,0,293
lenehan,soft,1,0,315
lenehan,soft,1,0,316
lenehan,soft,1,0,589
lenehan,soft,1,0,680
lenehan,soft,1,0,695
lenehan,soft,1,0,1136
lenehan,soft,1,0,1201
lenehan,soft,1,0,13
lenehan,soft,1,1,589
lenehan,soft,1,0,1284
lenehan,word,1,0,13
lenehan,word,1,0,87
lenehan,word,1,0,676
lenehan,word,1,0,680
lenehan,word,1,0,696
lenehan,word,1,0,720
lenehan,word,1,0,839
lenehan,word,1,0,926
lenehan,word,1,0,1009
lenehan,word,1,0,1081
